Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-544.513528006417,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-533.135149274553,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-521.756770542689,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-510.378391810826,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-499.000013078962,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-487.621634347098,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-291.342636108399,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-291.342636108399,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-487.621634347098,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-499.000013078962,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-510.378391810826,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-521.756770542689,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-533.135149274553,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-544.513528006417,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-291.342636108399,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-458.86487688337,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-447.486498151507,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-436.108119419643,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-424.729740687779,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-413.351361955915,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-401.972983224052,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-458.86487688337,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-447.486498151507,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-436.108119419643,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-424.729740687779,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-413.351361955915,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-401.972983224052,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-291.342636108399,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-293.152034759522,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-305.358116149903,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-317.564197540284,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-329.770278930665,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-341.976360321045,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-354.182441711426,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-366.388523101807,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-288.94239807129,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-288.94239807129,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-366.388523101807,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-354.182441711426,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-341.976360321045,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-329.770278930665,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-317.564197540284,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-305.358116149903,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-293.152034759522,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-275.629516601563,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-366.388523101807,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-354.182441711426,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-341.976360321045,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-329.770278930665,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-317.564197540284,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-305.358116149903,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-293.152034759522,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-253.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-280.945953369141,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-293.152034759522,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-305.358116149903,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-317.564197540284,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-329.770278930665,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-341.976360321045,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-354.182441711426,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-366.388523101807,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-378.594604492188,0,-270.829071044922,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-458.86487688337,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-447.486498151507,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-436.108119419643,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-424.729740687779,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-413.351361955915,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-401.972983224052,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-227.653869628906,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-237.729049682617,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-217.578689575195,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-227.653869628906,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-237.729049682617,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-401.972983224052,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-413.351361955915,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-424.729740687779,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-436.108119419643,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-447.486498151507,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-458.86487688337,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-247.804229736328,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-187.353164672852,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-200.065704345703,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-401.972983224052,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-413.351361955915,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-424.729740687779,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-436.108119419643,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-447.486498151507,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-458.86487688337,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-470.243255615234,0,-212.778244018555,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-390.594604492188,0,-187.353164672852,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-401.972983224052,0,-187.353164672852,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-413.351361955915,0,-187.353164672852,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-424.729740687779,0,-187.353164672852,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-436.108119419643,0,-187.353164672852,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-447.486498151507,0,-187.353164672852,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-458.86487688337,0,-187.353164672852,1,0,0,0,1,0
